data(p1365):buying(A,low):2.90348633382185 
data(p1200):maint(A,low):1.614190203734866 
data(p1200):doors(A,2):-1.4938172787832886 
data(p1200):persons(A,4):4.069530965621798 
data(p1200):lugboot(A,small):-1.1400926138310439 
data(p1200):safety(A,high):4.573461142395457 
data(p1215):buying(A,med):1.6820416601693882 
data(p1215):maint(A,low):1.2364832475102132 
data(p1215):doors(A,2):-1.4600769455936358 
data(p1215):persons(A,more):2.2780076722298293 
data(p1215):lugboot(A,big):1.1636195043628945 
data(p1215):safety(A,high):3.3481133700269696 
data(p655):buying(A,high):-0.6412689142628649 
data(p655):maint(A,med):1.0312757135024357 
data(p655):doors(A,2):-0.6609831883431359 
data(p655):persons(A,2):-3.2848630553439677 
data(p655):lugboot(A,big):1.6647078654409972 
data(p655):safety(A,low):-3.1211995286922627 
data(p592):buying(A,high):-0.1515717884318286 
data(p592):maint(A,high):0.1234938751032288 
data(p592):doors(A,3):0.24060588648680353 
data(p592):persons(A,more):2.6261548257777823 
data(p592):lugboot(A,big):1.1454632732645875 
data(p592):safety(A,low):-4.5720615479785325 
data(p1357):buying(A,low):2.2657464478277896 
data(p1357):maint(A,vhigh):-1.4210984585479625 
data(p1357):doors(A,4):0.43868479858718556 
data(p1357):persons(A,2):-3.3022851986483626 
data(p1357):lugboot(A,big):0.9106527686259983 
data(p1357):safety(A,low):-3.033997251810144 
data(p210):buying(A,vhigh):-3.862126870652604 
data(p210):maint(A,high):-1.8672629154849492 
data(p210):doors(A,morethanfive):0.31327699834840683 
data(p210):persons(A,more):1.8650374904697002 
data(p210):lugboot(A,small):-1.4352545870152609 
data(p210):safety(A,high):3.975704467095291 
data(p955):buying(A,med):2.482421537512051 
data(p955):maint(A,vhigh):-2.1062560214947226 
data(p955):doors(A,morethanfive):0.4182126490562303 
data(p955):persons(A,4):2.34154984552071 
data(p955):lugboot(A,small):-1.085463153104251 
data(p955):safety(A,low):-4.051167886194877 
data(p250):buying(A,vhigh):-1.0731223194797253 
data(p250):maint(A,med):1.8040541402069175 
data(p250):doors(A,3):-0.01937942899469896 
data(p250):persons(A,2):-3.231887011018968 
data(p250):lugboot(A,big):1.051660112973627 
data(p250):safety(A,low):-3.1221033365601456 
data(p1596):buying(A,low):1.4345535364223219 
data(p1596):maint(A,med):0.8764075778096062 
data(p1596):doors(A,morethanfive):0.36791290942231797 
data(p1596):persons(A,2):-4.9421962700387505 
data(p1596):lugboot(A,small):-0.8013457217144937 
data(p1596):safety(A,high):3.568499361670442 
data(p732):buying(A,high):-0.6972106413747953 
data(p732):maint(A,med):1.0962333559794895 
data(p732):doors(A,morethanfive):0.44193178919679726 
data(p732):persons(A,2):-4.572277709847624 
data(p732):lugboot(A,small):-0.831553605540765 
data(p732):safety(A,high):4.011211191065784 
data(p684):buying(A,high):-0.6710718856589123 
data(p684):maint(A,med):1.1101011696975198 
data(p684):doors(A,3):0.020033085550110765 
data(p684):persons(A,2):-4.871372407954444 
data(p684):lugboot(A,big):0.6392649380543295 
data(p684):safety(A,high):3.1463130547740876 
data(p698):buying(A,high):-1.3914945514003065 
data(p698):maint(A,med):1.3974790376672015 
data(p698):doors(A,3):-0.13677190646245732 
data(p698):persons(A,more):3.2300154058364225 
data(p698):lugboot(A,med):0.5613104126307111 
data(p698):safety(A,med):1.6820223583130842 
data(p643):buying(A,high):-0.19126895096302504 
data(p643):maint(A,high):0.17680091047888274 
data(p643):doors(A,morethanfive):0.5891464450309197 
data(p643):persons(A,more):2.478627192937576 
data(p643):lugboot(A,med):0.8246937442680992 
data(p643):safety(A,low):-4.476553863933582 
data(p453):buying(A,high):-1.6712547402005007 
data(p453):maint(A,vhigh):-3.54769874559132 
data(p453):doors(A,2):-2.7702290376816774 
data(p453):persons(A,more):1.3065281533864033 
data(p453):lugboot(A,small):-2.2075642220869054 
data(p453):safety(A,high):4.255547182486921 
data(p810):buying(A,high):-1.0194184624567684 
data(p810):maint(A,low):1.3094890691388938 
data(p810):doors(A,3):0.2765776095671129 
data(p810):persons(A,more):2.8050897851474743 
data(p810):lugboot(A,big):0.6805488991100271 
data(p810):safety(A,high):3.4413221701525516 
data(p1018):buying(A,med):1.4067843311231167 
data(p1018):maint(A,high):-1.0220990129713283 
data(p1018):doors(A,3):0.3750872924755281 
data(p1018):persons(A,more):2.2980290571896425 
data(p1018):lugboot(A,small):-1.5614907735542878 
data(p1018):safety(A,low):-4.306535666685842 
data(p764):buying(A,high):-1.2374411665710223 
data(p764):maint(A,low):1.085211271408568 
data(p764):doors(A,2):-1.2392007569882266 
data(p764):persons(A,2):-4.668308682845067 
data(p764):lugboot(A,big):2.166562476518387 
data(p764):safety(A,med):1.676916682106233 
data(p1248):buying(A,med):1.3799369733094655 
data(p1248):maint(A,low):1.3032912325497505 
data(p1248):doors(A,4):0.5130742485588313 
data(p1248):persons(A,2):-4.989229534498029 
data(p1248):lugboot(A,med):0.36258944086325945 
data(p1248):safety(A,high):3.354800465431165 
data(p315):buying(A,vhigh):-2.287944045912165 
data(p315):maint(A,med):2.0595836430920804 
data(p315):doors(A,morethanfive):0.3180600325709507 
data(p315):persons(A,4):2.714046954427167 
data(p315):lugboot(A,big):0.5289770534349377 
data(p315):safety(A,high):3.3145118723535885 
data(p229):buying(A,vhigh):-1.5037983021919281 
data(p229):maint(A,med):1.8489885782814535 
data(p229):doors(A,2):-1.3211348964568879 
data(p229):persons(A,4):2.462885819212744 
data(p229):lugboot(A,med):-0.09774255188732145 
data(p229):safety(A,low):-4.028329424374983 
data(p111):buying(A,vhigh):-3.149249064787867 
data(p111):maint(A,high):-1.4504733054394516 
data(p111):doors(A,2):-1.9130770679054603 
data(p111):persons(A,2):-3.878980389841077 
data(p111):lugboot(A,small):-1.4575046262046065 
data(p111):safety(A,high):3.7084618456085154 
data(p1242):buying(A,med):1.6496302500027853 
data(p1242):maint(A,low):1.3607769378126502 
data(p1242):doors(A,3):0.22407750880335428 
data(p1242):persons(A,more):2.9936117767159 
data(p1242):lugboot(A,big):0.5366764510752987 
data(p1242):safety(A,high):3.33160890762057 
data(p137):buying(A,vhigh):-3.381902456081839 
data(p137):maint(A,high):-1.4532295962664934 
data(p137):doors(A,3):-0.018708882064221798 
data(p137):persons(A,2):-3.8655513500244574 
data(p137):lugboot(A,small):-1.6385267012063924 
data(p137):safety(A,med):0.7091187972650069 
data(p1021):buying(A,med):1.2040256322822989 
data(p1021):maint(A,high):-1.0174597648443702 
data(p1021):doors(A,3):0.03559261761608728 
data(p1021):persons(A,more):3.110704177858936 
data(p1021):lugboot(A,med):0.47030575861470914 
data(p1021):safety(A,low):-4.574354853163181 
data(p70):buying(A,vhigh):-2.308927807384562 
data(p70):maint(A,vhigh):-2.702250386175868 
data(p70):doors(A,4):0.4663291130170487 
data(p70):persons(A,4):1.992365381447285 
data(p70):lugboot(A,big):1.1376514404945204 
data(p70):safety(A,low):-3.75792132782647 
data(p1029):buying(A,med):1.223780112742022 
data(p1029):maint(A,high):-0.9483873644852688 
data(p1029):doors(A,4):0.4203210724701018 
data(p1029):persons(A,2):-4.568839885419869 
data(p1029):lugboot(A,small):-0.6816292322590349 
data(p1029):safety(A,high):3.8490821445657013 
data(p1307):buying(A,low):3.595556190607494 
data(p1307):maint(A,vhigh):-3.093690784400583 
data(p1307):doors(A,2):-1.395086724146546 
data(p1307):persons(A,4):3.357316632108967 
data(p1307):lugboot(A,small):-1.7617569416465313 
data(p1307):safety(A,med):1.110449026323947 
data(p1295):buying(A,med):1.7926810016218866 
data(p1295):maint(A,low):1.3923171061759354 
data(p1295):doors(A,morethanfive):0.3098922910463809 
data(p1295):persons(A,more):2.8435584976444925 
data(p1295):lugboot(A,big):1.335638199343945 
data(p1295):safety(A,med):2.7732788892956863 
data(p1055):buying(A,med):1.2747724315689317 
data(p1055):maint(A,high):-1.0594280789827129 
data(p1055):doors(A,morethanfive):0.4345218409101849 
data(p1055):persons(A,2):-4.391275401877847 
data(p1055):lugboot(A,small):-1.8585102983205688 
data(p1055):safety(A,med):1.2414587389104539 
data(p940):buying(A,med):2.395610581151468 
data(p940):maint(A,vhigh):-1.9557373629386294 
data(p940):doors(A,4):0.6165139792588634 
data(p940):persons(A,more):2.6271184313347598 
data(p940):lugboot(A,med):0.713032276148851 
data(p940):safety(A,low):-4.240727178695563 
data(p1699):buying(A,low):1.4859685474547812 
data(p1699):maint(A,low):0.9173523692630148 
data(p1699):doors(A,4):0.20952930411353643 
data(p1699):persons(A,more):2.384497237464459 
data(p1699):lugboot(A,big):0.8068301639764703 
data(p1699):safety(A,low):-4.970261031257488 
data(p1593):buying(A,low):1.432766381758879 
data(p1593):maint(A,med):1.0030836317884846 
data(p1593):doors(A,4):0.10190943028082271 
data(p1593):persons(A,more):2.4757117862092612 
data(p1593):lugboot(A,big):0.5258284993593043 
data(p1593):safety(A,high):2.957759375485561 
data(p836):buying(A,high):-1.455223347472702 
data(p836):maint(A,low):1.2353538156509978 
data(p836):doors(A,4):0.3257842810187587 
data(p836):persons(A,more):2.562182865236011 
data(p836):lugboot(A,big):1.6112761980422705 
data(p836):safety(A,med):2.3338911565381495 
data(p1468):buying(A,low):2.812464299687979 
data(p1468):maint(A,high):-0.2919470506634492 
data(p1468):doors(A,4):0.41286175333637576 
data(p1468):persons(A,4):2.7946202833259113 
data(p1468):lugboot(A,small):-1.0593843539766514 
data(p1468):safety(A,low):-4.45565181602 
data(p339):buying(A,vhigh):-2.088119287348307 
data(p339):maint(A,low):2.3037238254590626 
data(p339):doors(A,2):-1.2866821628893905 
data(p339):persons(A,4):2.9816038819462904 
data(p339):lugboot(A,med):-0.09286790306586244 
data(p339):safety(A,high):4.281022928167213 
data(p1087):buying(A,med):1.4142979949282661 
data(p1087):maint(A,med):0.9807439697843752 
data(p1087):doors(A,2):-0.6029812666749457 
data(p1087):persons(A,2):-3.502687593121437 
data(p1087):lugboot(A,big):1.456518690820809 
data(p1087):safety(A,low):-3.2948318532964262 
data(p828):buying(A,high):-1.1757818550348078 
data(p828):maint(A,low):1.3754600484659134 
data(p828):doors(A,4):0.24575727648761225 
data(p828):persons(A,4):2.8298829396661733 
data(p828):lugboot(A,big):0.5306942140301927 
data(p828):safety(A,high):3.538507187005761 
data(p112):buying(A,vhigh):-2.6316030082562887 
data(p112):maint(A,high):-0.9558833706260125 
data(p112):doors(A,2):-1.2900793181660495 
data(p112):persons(A,2):-2.838661201600958 
data(p112):lugboot(A,med):0.22275403989082845 
data(p112):safety(A,low):-2.6109634043604224 
data(p298):buying(A,vhigh):-1.1665563548755056 
data(p298):maint(A,med):1.8316854174958397 
data(p298):doors(A,morethanfive):0.5050154568326564 
data(p298):persons(A,2):-2.9592158974315925 
data(p298):lugboot(A,small):-1.17424512093372 
data(p298):safety(A,low):-2.8609906913524474 
data(p1687):buying(A,low):1.9851213881679024 
data(p1687):maint(A,low):1.1153489999791244 
data(p1687):doors(A,4):0.6465789371889299 
data(p1687):persons(A,4):2.756085963311138 
data(p1687):lugboot(A,med):0.4408847292317897 
data(p1687):safety(A,low):-4.886321904611143 
data(p1612):buying(A,low):1.8615277321829862 
data(p1612):maint(A,med):1.0114759398167117 
data(p1612):doors(A,morethanfive):0.4497821217376255 
data(p1612):persons(A,more):1.8605961860552758 
data(p1612):lugboot(A,small):-1.7575853319657635 
data(p1612):safety(A,low):-4.563326919687461 
data(p1546):buying(A,low):1.4935988102328828 
data(p1546):maint(A,med):0.8626894733987156 
data(p1546):doors(A,3):-0.029606480088423853 
data(p1546):persons(A,2):-3.6318458339980833 
data(p1546):lugboot(A,big):0.8822467962346868 
data(p1546):safety(A,low):-3.4518875102688917 
data(p1564):buying(A,low):1.5709300323342696 
data(p1564):maint(A,med):0.9240538564209776 
data(p1564):doors(A,3):0.22020988936308586 
data(p1564):persons(A,more):2.6946725432340375 
data(p1564):lugboot(A,big):0.9551533279175792 
data(p1564):safety(A,low):-4.94584838022123 
data(p703):buying(A,high):-0.7779007522150482 
data(p703):maint(A,med):1.165997891546108 
data(p703):doors(A,4):0.5276263502491352 
data(p703):persons(A,2):-3.049929012419631 
data(p703):lugboot(A,small):-1.1013767260311509 
data(p703):safety(A,low):-3.0260532606944177 
data(p1140):buying(A,med):1.2813732565088165 
data(p1140):maint(A,med):0.9099228933854261 
data(p1140):doors(A,4):0.507436101790448 
data(p1140):persons(A,2):-5.008933305774626 
data(p1140):lugboot(A,med):0.3833583657505206 
data(p1140):safety(A,high):3.1692482914806424 
data(p149):buying(A,vhigh):-4.074017750102753 
data(p149):maint(A,high):-1.7429892486538323 
data(p149):doors(A,3):-1.0237794840044148 
data(p149):persons(A,4):1.5510517549096152 
data(p149):lugboot(A,med):0.01715622235803253 
data(p149):safety(A,med):1.2594673859394896 
data(p915):buying(A,med):2.515290787926742 
data(p915):maint(A,vhigh):-2.536853543483912 
data(p915):doors(A,3):0.10848158744430095 
data(p915):persons(A,more):3.1084849718096907 
data(p915):lugboot(A,med):0.3512698312305404 
data(p915):safety(A,high):3.7742115774158633 
data(p1321):buying(A,low):2.3259637753162785 
data(p1321):maint(A,vhigh):-1.8237666976674187 
data(p1321):doors(A,2):-0.9993022462516506 
data(p1321):persons(A,more):1.9264558982734115 
data(p1321):lugboot(A,big):1.6947094677456966 
data(p1321):safety(A,low):-4.171137417104507 
data(p83):buying(A,vhigh):-2.306009866433241 
data(p83):maint(A,vhigh):-2.691267546352192 
data(p83):doors(A,morethanfive):0.6315470342626317 
data(p83):persons(A,2):-3.6700436033054302 
data(p83):lugboot(A,small):-1.7759013778565242 
data(p83):safety(A,med):0.7696542701891695 
data(p648):buying(A,high):-0.15610884868233563 
data(p648):maint(A,high):-0.14291116156734557 
data(p648):doors(A,morethanfive):0.18779018273941367 
data(p648):persons(A,more):2.4294531214868162 
data(p648):lugboot(A,big):0.5956249212242269 
data(p648):safety(A,high):3.1135295165849346 
data(p1630):buying(A,low):2.270297441919421 
data(p1630):maint(A,low):1.1996744917642634 
data(p1630):doors(A,2):-1.1149386594114408 
data(p1630):persons(A,4):3.875230377690688 
data(p1630):lugboot(A,small):-1.1586032404418987 
data(p1630):safety(A,low):-4.376575708940988 
data(p1163):buying(A,med):1.787897065695158 
data(p1163):maint(A,med):1.3526741139707124 
data(p1163):doors(A,morethanfive):0.47821417134211236 
data(p1163):persons(A,2):-4.632902404749557 
data(p1163):lugboot(A,small):-1.8160845994737407 
data(p1163):safety(A,med):1.5638350390187474 
data(p1602):buying(A,low):1.2836190037159179 
data(p1602):maint(A,med):0.9047226667171765 
data(p1602):doors(A,morethanfive):0.29053196158235917 
data(p1602):persons(A,2):-5.208255115869736 
data(p1602):lugboot(A,big):0.36662489142607135 
data(p1602):safety(A,high):2.7281871276460943 
data(p1706):buying(A,low):1.9673782275317728 
data(p1706):maint(A,low):1.0897284884519873 
data(p1706):doors(A,morethanfive):0.7975307666199964 
data(p1706):persons(A,2):-4.956158497114633 
data(p1706):lugboot(A,med):0.5912034501971338 
data(p1706):safety(A,med):2.225826216407469 
data(p1015):buying(A,med):1.1342007836885868 
data(p1015):maint(A,high):-1.1857248229585395 
data(p1015):doors(A,3):-0.3961923224109472 
data(p1015):persons(A,4):2.1523260755107976 
data(p1015):lugboot(A,big):1.0645286217438266 
data(p1015):safety(A,low):-4.687228766910912 
data(p1450):buying(A,low):2.349455485167714 
data(p1450):maint(A,high):-0.25347061228581486 
data(p1450):doors(A,3):0.3695643173264499 
data(p1450):persons(A,more):2.0768081091309303 
data(p1450):lugboot(A,small):-1.5730741874048502 
data(p1450):safety(A,low):-4.377766405246508 
data(p303):buying(A,vhigh):-1.4780098011878695 
data(p303):maint(A,med):1.8256717431145233 
data(p303):doors(A,morethanfive):0.5545692591113149 
data(p303):persons(A,2):-4.474161880302711 
data(p303):lugboot(A,med):0.5038513652686846 
data(p303):safety(A,high):3.257616933481326 
data(p1011):buying(A,med):1.376073315125661 
data(p1011):maint(A,high):-1.3654626217897305 
data(p1011):doors(A,3):-0.15928997883442808 
data(p1011):persons(A,4):2.676406955957187 
data(p1011):lugboot(A,small):-0.6055223477082481 
data(p1011):safety(A,high):4.707900955824338 
data(p1309):buying(A,low):2.9369047637679513 
data(p1309):maint(A,vhigh):-2.2157356114817683 
data(p1309):doors(A,2):-1.1824187713556658 
data(p1309):persons(A,4):2.5334069801544454 
data(p1309):lugboot(A,med):-0.09491209568282975 
data(p1309):safety(A,low):-4.06491651765899 
data(p417):buying(A,vhigh):-2.271848216900802 
data(p417):maint(A,low):2.43706720023858 
data(p417):doors(A,morethanfive):0.3693505591814817 
data(p417):persons(A,4):2.885968783095266 
data(p417):lugboot(A,small):-0.9199404564296451 
data(p417):safety(A,high):4.6025901537185145 
data(p541):buying(A,high):-0.16013109377072351 
data(p541):maint(A,high):0.5049642627687702 
data(p541):doors(A,2):-1.6564316802223318 
data(p541):persons(A,2):-2.8017864531747323 
data(p541):lugboot(A,small):-1.652153886009034 
data(p541):safety(A,low):-2.683773391100105 
data(p1416):buying(A,low):2.567703686504447 
data(p1416):maint(A,high):-0.4772026843144359 
data(p1416):doors(A,2):-1.3867312437026702 
data(p1416):persons(A,4):4.109890683063569 
data(p1416):lugboot(A,small):-1.2145953907917053 
data(p1416):safety(A,high):4.112211965771019 
data(p1655):buying(A,low):1.7960187375810117 
data(p1655):maint(A,low):1.0654259310071044 
data(p1655):doors(A,3):-0.17888767936832908 
data(p1655):persons(A,2):-5.116256210189844 
data(p1655):lugboot(A,big):1.3321717716767025 
data(p1655):safety(A,med):2.4033335347453395 
data(p783):buying(A,high):-1.0665450392378053 
data(p783):maint(A,low):1.1765084021397623 
data(p783):doors(A,2):-1.4763236451386412 
data(p783):persons(A,more):2.1367914929772724 
data(p783):lugboot(A,big):1.3144788710615782 
data(p783):safety(A,high):3.4567676780807175 
data(p700):buying(A,high):-0.8622238311159398 
data(p700):maint(A,med):1.1596639900219257 
data(p700):doors(A,3):0.2533910726005844 
data(p700):persons(A,more):2.6925576491620835 
data(p700):lugboot(A,big):1.1966710290861926 
data(p700):safety(A,low):-4.729211755886929 
data(p699):buying(A,high):-0.9806223138189661 
data(p699):maint(A,med):1.1977206354361707 
data(p699):doors(A,3):0.13545325568141292 
data(p699):persons(A,more):3.0364405701738897 
data(p699):lugboot(A,med):0.4701957429133496 
data(p699):safety(A,high):3.836763893372045 
data(p709):buying(A,high):-0.597528609374362 
data(p709):maint(A,med):1.1068920796683064 
data(p709):doors(A,4):0.410647961172419 
data(p709):persons(A,2):-3.329446006661014 
data(p709):lugboot(A,big):0.9833340514550611 
data(p709):safety(A,low):-3.306269743265118 
data(p695):buying(A,high):-1.5085560671869533 
data(p695):maint(A,med):1.4145090879913291 
data(p695):doors(A,3):0.296502459219848 
data(p695):persons(A,more):2.3151552428309814 
data(p695):lugboot(A,small):-2.622302370514645 
data(p695):safety(A,med):1.0773362592698308 
data(p1548):buying(A,low):1.3054040876630155 
data(p1548):maint(A,med):0.8889296287451656 
data(p1548):doors(A,3):0.018258733935312983 
data(p1548):persons(A,2):-5.222703872372096 
data(p1548):lugboot(A,big):0.47673767525069394 
data(p1548):safety(A,high):2.8859580129590108 
data(p1517):buying(A,low):2.1236162619726815 
data(p1517):maint(A,med):1.0361904153303287 
data(p1517):doors(A,2):-2.2706818500353037 
data(p1517):persons(A,2):-4.8820167132221854 
data(p1517):lugboot(A,med):0.15320785855169256 
data(p1517):safety(A,med):1.8705024860408304 
data(p683):buying(A,high):-1.0255959043658038 
data(p683):maint(A,med):1.2790083652132431 
data(p683):doors(A,3):-0.2320986648727322 
data(p683):persons(A,2):-4.803344443440893 
data(p683):lugboot(A,big):1.6749304521980393 
data(p683):safety(A,med):1.9003642236321432 
data(p1):buying(A,vhigh):-1.7662325406634791 
data(p1):maint(A,vhigh):-1.9696169901817915 
data(p1):doors(A,2):-1.5432435908326316 
data(p1):persons(A,2):-2.5596816184416005 
data(p1):lugboot(A,small):-1.5142205381969827 
data(p1):safety(A,low):-2.351136157294585 
data(p114):buying(A,vhigh):-3.221011351700019 
data(p114):maint(A,high):-1.4676036859050638 
data(p114):doors(A,2):-1.2369161023295483 
data(p114):persons(A,2):-4.071592615137591 
data(p114):lugboot(A,med):0.24909715590656767 
data(p114):safety(A,high):3.4380185242139367 
data(p1426):buying(A,low):2.251607602560648 
data(p1426):maint(A,high):-0.08548590327776186 
data(p1426):doors(A,2):-1.9379888361025808 
data(p1426):persons(A,more):2.1993919973853298 
data(p1426):lugboot(A,med):0.5053691005025697 
data(p1426):safety(A,low):-4.407769615045297 
data(p296):buying(A,vhigh):-2.4099084327539986 
data(p296):maint(A,med):2.0528521410533678 
data(p296):doors(A,4):0.2882461200017312 
data(p296):persons(A,more):2.486479142041887 
data(p296):lugboot(A,big):1.5824388754495986 
data(p296):safety(A,med):2.3734995787940574 
data(p882):buying(A,med):2.4666353568285717 
data(p882):maint(A,vhigh):-2.578815604785705 
data(p882):doors(A,2):-0.3177611301123952 
data(p882):persons(A,4):2.92708490243055 
data(p882):lugboot(A,big):1.100410555222516 
data(p882):safety(A,high):3.5713511584717224 
data(p742):buying(A,high):-0.9665737892601183 
data(p742):maint(A,med):1.2988902480569684 
data(p742):doors(A,morethanfive):0.8589296341529894 
data(p742):persons(A,4):2.210763948744998 
data(p742):lugboot(A,med):0.43883954411539894 
data(p742):safety(A,low):-4.603937311785617 
data(p454):buying(A,high):-1.501845428527728 
data(p454):maint(A,vhigh):-3.082296240325739 
data(p454):doors(A,2):-1.8296694752629483 
data(p454):persons(A,more):2.1614511503690856 
data(p454):lugboot(A,med):0.49151462141467167 
data(p454):safety(A,low):-3.740338684482549 
data(p280):buying(A,vhigh):-1.6894187072367042 
data(p280):maint(A,med):1.958782623168517 
data(p280):doors(A,4):0.4655802041110385 
data(p280):persons(A,4):2.382894518685228 
data(p280):lugboot(A,small):-1.224003370831082 
data(p280):safety(A,low):-4.00252569182169 
data(p475):buying(A,high):-1.5981372297516467 
data(p475):maint(A,vhigh):-3.412550250858341 
data(p475):doors(A,3):-0.2858518761271615 
data(p475):persons(A,4):1.7542991733590299 
data(p475):lugboot(A,big):1.3675718162698056 
data(p475):safety(A,low):-4.084294562167404 
data(p1079):buying(A,med):1.299106208367501 
data(p1079):maint(A,high):-1.3658256162141078 
data(p1079):doors(A,morethanfive):0.28222105175094964 
data(p1079):persons(A,more):2.7521203777953835 
data(p1079):lugboot(A,big):1.4029997427750736 
data(p1079):safety(A,med):2.552792340722853 
data(p604):buying(A,high):-0.41794822844438506 
data(p604):maint(A,high):0.16275227576146906 
data(p604):doors(A,4):0.510891608320608 
data(p604):persons(A,4):2.25985660460221 
data(p604):lugboot(A,small):-1.28885240787443 
data(p604):safety(A,low):-4.244337171801207 
data(p1310):buying(A,low):3.3943753067819884 
data(p1310):maint(A,vhigh):-3.1891553064339058 
data(p1310):doors(A,2):-1.8851944588755747 
data(p1310):persons(A,4):2.577985070574069 
data(p1310):lugboot(A,med):-0.1890567506757426 
data(p1310):safety(A,med):1.3502943187714 
data(p442):buying(A,high):-1.6966709339082056 
data(p442):maint(A,vhigh):-3.232366393198847 
data(p442):doors(A,2):-0.8726020627034311 
data(p442):persons(A,4):2.7655967141071964 
data(p442):lugboot(A,small):-1.3019350518263253 
data(p442):safety(A,low):-3.551992322701528 
data(p352):buying(A,vhigh):-1.229233827982269 
data(p352):maint(A,low):1.9990887617036266 
data(p352):doors(A,3):0.12770862518980194 
data(p352):persons(A,2):-2.9179417881216443 
data(p352):lugboot(A,small):-0.9503553957437745 
data(p352):safety(A,low):-2.8735693622888645 
data(p184):buying(A,vhigh):-3.131008364036985 
data(p184):maint(A,high):-1.403519907811894 
data(p184):doors(A,4):0.5506351945236553 
data(p184):persons(A,more):2.394584911265206 
data(p184):lugboot(A,med):0.8580015224568176 
data(p184):safety(A,low):-3.94279674227357 
data(p1675):buying(A,low):1.606565134088591 
data(p1675):maint(A,low):1.0443179186032625 
data(p1675):doors(A,4):0.42933819492293884 
data(p1675):persons(A,2):-3.294049630029267 
data(p1675):lugboot(A,small):-0.9188162690495311 
data(p1675):safety(A,low):-3.200759159346633 
data(p501):buying(A,high):-1.8081132115924452 
data(p501):maint(A,vhigh):-4.271175935234018 
data(p501):doors(A,4):0.643934563414793 
data(p501):persons(A,4):2.2413223883849542 
data(p501):lugboot(A,med):0.39950158593546053 
data(p501):safety(A,high):3.8205135982105904 
data(p146):buying(A,vhigh):-4.0999176413575285 
data(p146):maint(A,high):-1.738588937932878 
data(p146):doors(A,3):-0.3946757750808647 
data(p146):persons(A,4):1.884940384782791 
data(p146):lugboot(A,small):-1.827889554847423 
data(p146):safety(A,med):0.6735027453502508 
data(p1339):buying(A,low):2.824312278101449 
data(p1339):maint(A,vhigh):-2.1805001199159117 
data(p1339):doors(A,3):-0.36781968077810423 
data(p1339):persons(A,4):2.2095668144664606 
data(p1339):lugboot(A,big):1.1834056515160385 
data(p1339):safety(A,low):-4.372084400415954 
data(p717):buying(A,high):-1.0582740798479076 
data(p717):maint(A,med):1.2463892181597358 
data(p717):doors(A,4):0.5758905520860564 
data(p717):persons(A,4):2.662470758513348 
data(p717):lugboot(A,med):0.3565649668584943 
data(p717):safety(A,high):3.9453965816308347 
data(p1390):buying(A,low):2.963984292658453 
data(p1390):maint(A,vhigh):-2.3122196290712127 
data(p1390):doors(A,morethanfive):0.7058901965852769 
data(p1390):persons(A,4):2.2704381623167107 
data(p1390):lugboot(A,med):0.40178872368788077 
data(p1390):safety(A,low):-4.279026343426598 
data(p257):buying(A,vhigh):-2.385361893541086 
data(p257):maint(A,med):2.1291614033212 
data(p257):doors(A,3):-1.049057659799698 
data(p257):persons(A,4):1.6577232113129083 
data(p257):lugboot(A,med):-0.029009772699320875 
data(p257):safety(A,med):1.4195523752934087 
data(p1127):buying(A,med):2.109591361632059 
data(p1127):maint(A,med):1.356141407699245 
data(p1127):doors(A,3):0.26439148798112605 
data(p1127):persons(A,more):2.5374683220002594 
data(p1127):lugboot(A,small):-2.4247179159417978 
data(p1127):safety(A,med):1.61092489053199 
data(p835):buying(A,high):-0.9923735322243472 
data(p835):maint(A,low):1.0913275734237264 
data(p835):doors(A,4):0.2514682877681795 
data(p835):persons(A,more):2.348010139873369 
data(p835):lugboot(A,big):1.023792720925629 
data(p835):safety(A,low):-4.745232777609459 
data(p1228):buying(A,med):1.6376374939201623 
data(p1228):maint(A,low):1.4260430966258295 
data(p1228):doors(A,3):-0.8083942957580847 
data(p1228):persons(A,4):2.0629538005404684 
data(p1228):lugboot(A,med):-0.1656401798822031 
data(p1228):safety(A,low):-4.773164045884247 
data(p1342):buying(A,low):2.59403743971947 
data(p1342):maint(A,vhigh):-2.0716356774955997 
data(p1342):doors(A,3):0.3045673263783909 
data(p1342):persons(A,more):2.045756474004275 
data(p1342):lugboot(A,small):-1.5183521505492332 
data(p1342):safety(A,low):-4.0309182039719795 
data(p642):buying(A,high):-0.23804583409307875 
data(p642):maint(A,high):-0.07697803137008608 
data(p642):doors(A,morethanfive):0.32399582166045465 
data(p642):persons(A,more):1.8866024088596558 
data(p642):lugboot(A,small):-1.5482898947533494 
data(p642):safety(A,high):4.251946316894189 
data(p1529):buying(A,low):2.4542118524232808 
data(p1529):maint(A,med):1.1399145531114507 
data(p1529):doors(A,2):-0.9697573373676593 
data(p1529):persons(A,4):3.2728184541550656 
data(p1529):lugboot(A,big):2.0141946028435576 
data(p1529):safety(A,med):2.420287535146475 
data(p1679):buying(A,low):1.9331616732146826 
data(p1679):maint(A,low):1.052692481018192 
data(p1679):doors(A,4):0.7527017749944148 
data(p1679):persons(A,2):-4.967611530104114 
data(p1679):lugboot(A,med):0.6504305685148382 
data(p1679):safety(A,med):2.2693727989006676 
data(p1119):buying(A,med):1.6930233019379457 
data(p1119):maint(A,med):1.0690461226427954 
